Color,QD Wins,QD Games,PD Wins,PD Games
Mono-White,42,76,602,1115
Mono-Blue,34,75,594,1161
Mono-Black,96,159,496,779
Mono-Red,320,567,5401,8918
Mono-Green,67,121,1010,1726
Mono-White + Splash,97,196,1181,2175
Mono-Blue + Splash,266,498,1707,3173
Mono-Black + Splash,197,328,1270,2202
Mono-Red + Splash,326,579,4690,8167
Mono-Green + Splash,810,1447,7398,13067
Azorius (WU),2583,4619,26138,46659
Dimir (UB),10327,17396,66916,114536
Rakdos (BR),7736,13430,56307,97291
Gruul (RG),1179,2276,15807,29203
Selesnya (GW),6902,12049,52544,92141
Orzhov (WB),3998,6991,33111,58875
Golgari (BG),4966,8581,36180,62592
Simic (GU),2816,5009,22927,40727
Izzet (UR),2032,3812,28322,51162
Boros (RW),1904,3767,24165,45079
Azorius (WU) + Splash,1366,2514,9276,17107
Dimir (UB) + Splash,5255,9081,21015,38286
Rakdos (BR) + Splash,1464,2831,6887,13008
Gruul (RG) + Splash,656,1300,4829,9475
Selesnya (GW) + Splash,8288,14694,42609,77734
Orzhov (WB) + Splash,2380,4201,13471,24622
Golgari (BG) + Splash,6519,11595,32923,60802
Simic (GU) + Splash,4644,8093,21257,39150
Izzet (UR) + Splash,1059,2104,8645,16503
Boros (RW) + Splash,575,1230,4465,9022
Jeskai (WUR),218,462,1678,3334
Sultai (UBG),2200,3977,5877,11212
Mardu (BRW),638,1283,2250,4773
Temur (RGU),132,264,587,1209
Abzan (GWB),2272,4078,8397,16098
Esper (WUB),1511,2711,5334,10038
Grixis (UBR),603,1202,2234,4556
Jund (BRG),271,556,1137,2328
Naya (RGW),240,502,1298,2673
Bant (GWU),2784,4818,7859,14373
Jeskai (WUR) + Splash,49,109,236,461
Sultai (UBG) + Splash,1206,2082,2527,4781
Mardu (BRW) + Splash,52,119,238,477
Temur (RGU) + Splash,85,172,366,707
Abzan (GWB) + Splash,1154,2094,3728,7182
Esper (WUB) + Splash,310,558,821,1597
Grixis (UBR) + Splash,116,227,317,639
Jund (BRG) + Splash,104,205,357,750
Naya (RGW) + Splash,102,212,513,1054
Bant (GWU) + Splash,1356,2333,3587,6663
