Mono-White,6,9,66.7%
Mono-Blue,2,4,50.0%
Mono-Black,9,18,50.0%
Mono-Red,13,24,54.2%
Mono-Green,8,14,57.1%
Mono-White + Splash,27,47,57.4%
Mono-Blue + Splash,0,1,0.0%
Mono-Black + Splash,2,5,40.0%
Mono-Red + Splash,3,7,42.9%
Mono-Green + Splash,1,7,14.3%
Azorius (WU),5256,8781,59.9%
Dimir (UB),708,1299,54.5%
Rakdos (BR),2680,4982,53.8%
Gruul (RG),439,795,55.2%
Selesnya (GW),2379,4157,57.2%
Orzhov (WB),145,266,54.5%
Golgari (BG),67,133,50.4%
Simic (GU),27,55,49.1%
Izzet (UR),27,55,49.1%
Boros (RW),90,180,50.0%
Azorius (WU) + Splash,6988,11773,59.4%
Dimir (UB) + Splash,1401,2617,53.5%
Rakdos (BR) + Splash,2227,4235,52.6%
Gruul (RG) + Splash,573,1103,51.9%
Selesnya (GW) + Splash,3430,6007,57.1%
Orzhov (WB) + Splash,150,280,53.6%
Golgari (BG) + Splash,78,155,50.3%
Simic (GU) + Splash,66,128,51.6%
Izzet (UR) + Splash,32,57,56.1%
Boros (RW) + Splash,71,137,51.8%
Jeskai (WUR),7,23,30.4%
Sultai (UBG),53,100,53.0%
Mardu (BRW),63,107,58.9%
Temur (RGU),9,25,36.0%
Abzan (GWB),54,119,45.4%
Obscura (WUB),8020,14835,54.1%
Maestros (UBR),4904,9263,52.9%
Riveteers (BRG),3583,7159,50.0%
Cabaretti (RGW),4185,8096,51.7%
Brokers (GWU),25175,43154,58.3%
